nreqs,ctxlen,outlen,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,256,512,1024,vllm,1.1476837191132372,2056.649224650921,587.6140641859774
1000,64,128,256,vllm+,23.897547077592957,10706.101090761644,3058.8860259318985
1000,256,256,512,vllm,3.038482005809103,3111.4055739485216,777.8513934871304
1000,64,128,512,vllm+,23.609208931644375,16620.88308787764,3021.97874325048
1000,64,128,128,vllm+,23.760371871476895,7603.318998872607,3041.3275995490426
1000,256,512,256,vllm,2.1344991150395556,2185.727093800505,1092.8635469002525
1000,256,512,128,vllm,2.4553767189633744,2200.0175401911833,1257.1528801092477
1000,256,256,512,vllm+,5.743990024270195,5881.84578485268,1470.46144621317
1000,128,256,256,vllm,4.9142824792706365,3145.1407867332073,1258.056314693283
1000,256,256,64,vllm,5.39688420731059,3108.6053034109,1381.602357071511
1000,256,512,2048,vllm+,2.684535242782098,7559.651243674388,1374.482044304434
1000,128,256,2048,vllm+,7.7989954642662065,18967.156969095413,1996.5428388521489
1000,128,256,512,vllm,3.5459159818964627,3177.1407197792305,907.7544913654945
1000,256,512,128,vllm+,2.789124690235613,2499.055722451109,1428.0318414006338
1000,64,128,128,vllm,13.194638903853114,4222.284449232997,1688.9137796931986
1000,64,128,2048,vllm,1.908721715962486,4275.536643755969,244.31637964319822
1000,256,512,1024,vllm+,2.741861958532595,4913.41662969041,1403.8333227686887
1000,256,512,512,vllm+,2.76756122960229,3542.4783738909305,1416.9913495563724
1000,256,512,256,vllm+,2.784670131931525,2851.5022150978816,1425.7511075489408
1000,256,256,1024,vllm+,5.722530302960551,8789.806545347406,1464.967757557901
1000,256,256,2048,vllm,1.194380537847555,3057.6141768897405,305.76141768897406
1000,256,256,2048,vllm+,5.569388307052772,14257.634066055096,1425.7634066055095
1000,256,512,64,vllm+,2.7979721192521225,2327.912803217766,1432.5617250570867
1000,128,256,128,vllm+,8.237860716207015,4217.784686697992,2108.892343348996
1000,256,256,128,vllm+,5.812742753607755,3720.1553623089635,1488.0621449235853
1000,128,256,128,vllm,6.037545317425522,3091.2232025218673,1545.6116012609336
1000,64,128,1024,vllm+,23.267532912020215,28293.32002101658,2978.2442127385875
1000,256,512,512,vllm,1.6486876405479332,2110.3201799013545,844.1280719605418
1000,256,512,64,vllm,2.6442595390255867,2200.023936469288,1353.8608839811004
1000,256,512,2048,vllm,0.6883497937463167,1938.393019189628,352.43509439811413
1000,128,256,256,vllm+,8.099428782197808,5183.634420606597,2073.453768242639
1000,64,128,64,vllm+,23.744633094388423,6078.626072163436,3039.313036081718
1000,256,256,1024,vllm,2.053145566104789,3153.631589536956,525.605264922826
1000,64,128,64,vllm,18.457669158562847,4725.163304592089,2362.5816522960445
1000,128,256,1024,vllm+,7.986865441386243,11245.50654147183,2044.6375529948782
1000,64,128,512,vllm,6.377821497428388,4489.986334189585,816.3611516708337
1000,256,256,128,vllm,4.9332979822329674,3157.3107086290993,1262.9242834516397
1000,256,256,256,vllm+,5.836739595698951,4482.6160094967945,1494.2053364989315
1000,128,256,64,vllm+,8.200860024107609,3673.9852908002085,2099.420166171548
1000,128,256,2048,vllm,1.2484862546793438,3036.3185713801645,319.612481197912
1000,128,256,64,vllm,6.852981130876081,3070.1355466324844,1754.3631695042768
1000,256,256,64,vllm+,5.8750719943616225,3384.041468752295,1504.0184305565754
1000,64,128,2048,vllm+,22.716122208880208,50884.113747891664,2907.6636427366666
1000,256,256,256,vllm,4.154949771088102,3191.001424195662,1063.6671413985541
1000,64,128,256,vllm,9.329203645745395,4179.483233293937,1194.1380666554105
1000,128,256,1024,vllm,2.241636640453905,3156.224389759099,573.8589799561997
1000,128,256,512,vllm+,8.167580257699907,7318.151910899117,2090.900545971176
1000,64,128,1024,vllm,3.686653798826702,4482.97101937327,471.89168624981784
