nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
16,256,8192,false,3.625975808,2090.262621641159,3.598712928,0.0,16,2052,0,0,22.262621641159058
16,256,256,false,0.224395264,141.98186807334423,0.218103904,0.0,16,116,0,0,9.98186807334423
64,256,16384,false,28.391243776,16179.001061245799,28.353495136,0.0,33,16125,0,0,21.001061245799065
64,256,64,true,0.448790528,300.7428674027324,0.436207712,0.001704032,25,244,10,5,16.742867402732372
8,128,512,true,0.056623104,58.377981185913086,0.027263072,0.013631584,14,20,16,2,6.377981185913086
8,128,4096,true,0.144703488,120.2607061713934,0.027263072,0.109052,15,17,74,2,12.260706171393394
16,256,8192,true,0.333447168,238.46810683608055,0.109052,0.218103904,15,63,130,3,27.46810683608055
8,256,4096,true,0.169869312,133.67434032261372,0.054526048,0.109052,15,30,74,3,11.674340322613716
8,256,2048,false,0.497025024,300.61651952564716,0.490733664,0.0,15,259,0,0,26.616519525647163
128,256,256,false,1.79306496,1047.1770726144314,1.74483056,0.0,47,989,0,0,11.177072614431381
1,256,128,false,0.027262976,34.10358913242817,0.010223712,0.0,12,15,0,0,7.103589132428169
8,128,64,true,0.035651584,45.829955488443375,0.027263072,0.001704032,13,14,10,2,6.829955488443375
1,256,64,false,0.027262976,32.47574903070927,0.008519776,0.0,12,13,0,0,7.475749030709267
4,256,512,false,0.090177536,68.13847925513983,0.081789024,0.0,15,46,0,0,7.138479255139828
8,256,16384,false,3.571449856,2050.816770642996,3.544186976,0.0,15,2031,0,0,4.816770642995834
8,128,2048,true,0.090177536,86.57928090542555,0.027263072,0.054526048,14,16,46,2,8.579280905425549
64,128,2048,false,3.716153344,2128.8957819342613,3.707764832,0.0,25,2084,0,0,19.895781934261322
16,256,2048,true,0.169869312,134.1734454035759,0.109052,0.054526048,15,60,46,3,10.173445403575897
128,256,128,false,1.356857344,800.4490425810218,1.308622944,0.0,47,741,0,0,12.449042581021786
4,128,512,false,0.077594624,65.05014840513468,0.068157536,0.0,14,42,0,0,9.050148405134678
1,128,8192,true,0.245366784,175.76218582689762,0.003407968,0.218103904,13,11,130,2,19.76218582689762
32,128,1024,false,0.987758592,576.4761380851269,0.981467232,0.0,18,547,0,0,11.476138085126877
128,256,1024,false,4.410310656,2523.6915703862906,4.362076256,0.0,48,2464,0,0,11.69157038629055
1,128,1024,true,0.056623104,54.97085861861706,0.003407968,0.027263072,12,11,21,2,8.970858618617058
16,128,4096,true,0.169869312,140.77466912567616,0.054526048,0.109052,15,35,73,3,14.774669125676155
64,128,128,true,0.249561088,179.2103797197342,0.218103904,0.003407968,25,129,13,5,7.210379719734192
16,128,8192,false,3.571449856,2053.914489224553,3.544186976,0.0,16,2022,0,0,15.914489224553108
64,256,2048,true,0.522190848,344.5789311081171,0.436207712,0.054526048,22,240,54,5,23.578931108117104
4,128,1024,true,0.056623104,64.7076079621911,0.013631584,0.027263072,16,15,25,2,6.707607962191105
8,128,2048,false,0.4718592,282.90949761867523,0.463470688,0.0,15,244,0,0,23.909497618675232
64,128,4096,false,7.205814272,4090.1617426425223,7.19742576,0.0,25,4059,0,0,6.161742642522313
128,128,64,true,0.484442112,333.653730340302,0.436207712,0.001704032,54,244,11,9,15.65373034030199
128,256,64,false,1.138753536,680.2451238036156,1.090519136,0.0,48,620,0,0,12.24512380361557
64,128,64,false,0.33554432,226.56089160591364,0.327155808,0.0,24,186,0,0,16.56089160591364
32,256,64,false,0.278921216,180.96782267093658,0.272629856,0.0,17,150,0,0,13.967822670936584
4,128,8192,true,0.245366784,181.3202165067196,0.013631584,0.218103904,13,13,129,2,24.32021650671959
64,128,4096,true,0.358612992,252.1397080272436,0.218103904,0.109052,23,126,80,5,18.139708027243614
4,256,16384,false,1.801453568,1040.5739303678274,1.772093536,0.0,15,1014,0,0,11.573930367827415
4,256,4096,true,0.144703488,121.22622691094875,0.027263072,0.109052,14,20,74,2,11.226226910948753
64,256,2048,false,3.934257152,2245.5479204654694,3.92586864,0.0,24,2211,0,0,10.54792046546936
4,128,256,false,0.048234496,43.5783714056015,0.04089456,0.0,14,24,0,0,5.5783714056015015
4,128,4096,true,0.13631488,115.30358344316483,0.013631584,0.109052,14,14,73,2,12.303583443164825
64,128,16384,true,0.685768704,449.94703959673643,0.218103904,0.436207712,22,136,254,5,32.94703959673643
8,256,1024,false,0.278921216,177.64258664101362,0.272629856,0.0,14,145,0,0,18.642586641013622
1,256,2048,false,0.069206016,60.177710838615894,0.061341792,0.0,14,37,0,0,9.177710838615894
128,128,64,false,0.70254592,432.2057217359543,0.65431152,0.0,49,363,0,0,20.205721735954285
1,256,512,true,0.027262976,50.712646916508675,0.00681584,0.013631584,12,12,13,2,11.712646916508675
32,128,128,false,0.224395264,155.87441623210907,0.218103904,0.0,17,127,0,0,11.87441623210907
16,128,128,false,0.11534336,84.55443661659956,0.109052,0.0,15,63,0,0,6.55443661659956
8,128,4096,false,0.908066816,533.5308983922005,0.899678304,0.0,15,495,0,0,23.53089839220047
64,256,8192,true,0.685768704,444.0087825059891,0.436207712,0.218103904,22,251,139,5,27.008782505989075
8,256,256,true,0.081788928,69.53955627977848,0.054526048,0.00681584,15,33,11,3,7.5395562797784805
64,256,512,false,1.317011456,772.8273421525955,1.308622944,0.0,24,725,0,0,23.82734215259552
4,256,128,true,0.04194304,50.14277063310146,0.027263072,0.003407968,13,16,12,2,7.142770633101463
1,256,16384,false,0.45088768,276.29327960312366,0.443023456,0.0,14,233,0,0,29.293279603123665
16,256,4096,false,1.860173824,1067.515928298235,1.853882464,0.0,16,1032,0,0,19.51592829823494
