nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
1,128,64,false,0.027262976,45.506719034165144,0.005111904,0.0,18,15,0,0,12.506719034165144
1,128,64,true,0.027262976,59.75462030619383,0.003407968,0.001704032,17,12,14,3,13.754620306193829
1,128,128,false,0.027262976,48.040589317679405,0.00681584,0.0,18,17,0,0,13.040589317679405
1,128,128,true,0.027262976,64.73578047007322,0.003407968,0.003407968,17,13,18,3,13.735780470073223
1,128,256,false,0.027262976,52.94074071571231,0.010223712,0.0,18,22,0,0,12.940740715712309
1,128,256,true,0.027262976,61.24921143054962,0.003407968,0.00681584,16,11,13,3,18.24921143054962
1,128,512,false,0.027262976,64.31948160752654,0.017039456,0.0,18,27,0,0,19.31948160752654
1,128,512,true,0.027262976,65.79174194484949,0.003407968,0.013631584,16,12,17,3,17.79174194484949
1,128,1024,false,0.039845888,66.44267123192549,0.030670944,0.0,19,35,0,0,12.442671231925488
1,128,1024,true,0.056623104,76.23180048540235,0.003407968,0.027263072,17,15,28,3,13.231800485402346
1,128,2048,false,0.065011712,79.86918091773987,0.05793392,0.0,18,55,0,0,6.869180917739868
1,128,2048,true,0.081788928,109.03822025284171,0.003407968,0.054526048,19,16,60,3,11.038220252841711
1,128,4096,false,0.119537664,118.28256072476506,0.112459872,0.0,20,83,0,0,15.282560724765062
1,128,4096,true,0.13631488,138.52011878043413,0.003407968,0.109052,18,14,95,3,8.520118780434132
1,128,8192,false,0.228589568,197.19340139999986,0.221511776,0.0,20,170,0,0,7.193401399999857
1,128,8192,true,0.245366784,213.75443087890744,0.003407968,0.218103904,17,15,170,3,8.754430878907442
1,128,16384,false,0.446693376,364.4018992781639,0.439615584,0.0,19,330,0,0,15.40189927816391
1,128,16384,true,0.463470592,370.8552708849311,0.003407968,0.436207712,19,14,325,3,9.855270884931087
1,256,64,false,0.027262976,47.12970927357674,0.008519776,0.0,17,19,0,0,11.129709273576736
1,256,64,true,0.027262976,59.32698957622051,0.00681584,0.001704032,16,15,13,3,12.326989576220512
1,256,128,false,0.027262976,53.66136087104678,0.010223712,0.0,18,23,0,0,12.661360871046782
1,256,128,true,0.027262976,69.30047878995538,0.00681584,0.003407968,17,17,18,3,14.300478789955378
1,256,256,false,0.027262976,55.4325501434505,0.013631584,0.0,18,25,0,0,12.432550143450499
1,256,256,true,0.027262976,71.35661086067557,0.00681584,0.00681584,17,18,14,3,19.356610860675573
1,256,512,false,0.027262976,63.0900589749217,0.020447328,0.0,18,27,0,0,18.090058974921703
1,256,512,true,0.027262976,70.13295078650117,0.00681584,0.013631584,16,16,18,3,17.13295078650117
1,256,1024,false,0.044040192,70.75313944369555,0.034078816,0.0,20,40,0,0,10.753139443695545
1,256,1024,true,0.056623104,83.09846976771951,0.00681584,0.027263072,17,22,30,3,11.098469767719507
1,256,2048,false,0.069206016,82.11508160457015,0.061341792,0.0,19,59,0,0,4.11508160457015
1,256,2048,true,0.081788928,107.38124139606953,0.00681584,0.054526048,19,19,59,3,7.381241396069527
1,256,4096,false,0.123731968,129.59110084921122,0.115867744,0.0,20,102,0,0,7.591100849211216
1,256,4096,true,0.13631488,145.30561165884137,0.00681584,0.109052,17,20,95,3,10.305611658841372
1,256,8192,false,0.232783872,188.18319076672196,0.224919648,0.0,18,160,0,0,10.183190766721964
1,256,8192,true,0.245366784,232.6699299737811,0.00681584,0.218103904,19,23,175,3,12.669929973781109
1,256,16384,false,0.45088768,364.9177309125662,0.443023456,0.0,19,328,0,0,17.917730912566185
1,256,16384,true,0.463470592,375.4750406369567,0.00681584,0.436207712,18,20,317,3,17.47504063695669
4,128,64,false,0.027262976,49.85064035281539,0.020447328,0.0,19,19,0,0,11.85064035281539
4,128,64,true,0.027262976,64.2521120607853,0.013631584,0.001704032,17,16,14,3,14.252112060785294
4,128,128,false,0.035651584,53.49359009414911,0.027263072,0.0,21,24,0,0,8.493590094149113
4,128,128,true,0.027262976,68.65494884550571,0.013631584,0.003407968,17,16,18,3,14.654948845505714
4,128,256,false,0.048234496,63.92522947862745,0.04089456,0.0,22,41,0,0,0.9252294786274504
4,128,256,true,0.027262976,70.07971871644258,0.013631584,0.00681584,18,16,15,3,18.079718716442585
4,128,512,false,0.077594624,91.40114998444915,0.068157536,0.0,21,63,0,0,7.401149984449148
4,128,512,true,0.048234496,74.49932163581252,0.013631584,0.013631584,19,16,19,3,17.49932163581252
4,128,1024,false,0.132120576,120.57281797751784,0.122683488,0.0,19,88,0,0,13.572817977517843
4,128,1024,true,0.056623104,86.23838191851974,0.013631584,0.027263072,19,19,34,3,11.238381918519735
4,128,2048,false,0.24117248,209.342238958925,0.231735392,0.0,22,181,0,0,6.342238958925009
4,128,2048,true,0.081788928,104.90577202290297,0.013631584,0.054526048,18,16,59,3,8.905772022902966
4,128,4096,false,0.459276288,368.36447892710567,0.4498392,0.0,20,336,0,0,12.364478927105665
4,128,4096,true,0.13631488,155.9101091697812,0.013631584,0.109052,21,20,98,4,12.910109169781208
4,128,8192,false,0.895483904,693.9797895029187,0.886046816,0.0,21,659,0,0,13.97978950291872
4,128,8192,true,0.245366784,231.69718915596604,0.013631584,0.218103904,19,19,177,4,12.697189155966043
4,128,16384,false,1.788870656,1287.8950219601393,1.758462048,0.0,20,1259,0,0,8.895021960139275
4,128,16384,true,0.463470592,379.44403011351824,0.013631584,0.436207712,19,18,320,3,19.444030113518238
4,256,64,false,0.044040192,53.3510185778141,0.034078816,0.0,20,26,0,0,7.351018577814102
4,256,64,true,0.035651584,70.39808202534914,0.027263072,0.001704032,18,23,14,3,12.39808202534914
4,256,128,false,0.048234496,62.52827122807503,0.04089456,0.0,20,37,0,0,5.5282712280750275
4,256,128,true,0.04194304,74.62529931217432,0.027263072,0.003407968,19,23,19,3,10.62529931217432
4,256,256,false,0.060817408,76.36816008016467,0.054526048,0.0,21,54,0,0,1.368160080164671
4,256,256,true,0.04194304,79.18139221146703,0.027263072,0.00681584,20,26,15,4,14.181392211467028
4,256,512,false,0.090177536,98.23150932788849,0.081789024,0.0,21,72,0,0,5.231509327888489
4,256,512,true,0.056623104,81.07270114123821,0.027263072,0.013631584,19,27,19,3,13.072701141238213
4,256,1024,false,0.144703488,142.20966026186943,0.136314976,0.0,21,112,0,0,9.20966026186943
4,256,1024,true,0.065011712,98.04431814700365,0.027263072,0.027263072,18,29,35,4,12.04431814700365
4,256,2048,false,0.253755392,217.41837030276656,0.24536688,0.0,21,191,0,0,5.4183703027665615
4,256,2048,true,0.090177536,125.05361111834647,0.027263072,0.054526048,21,28,62,4,10.053611118346467
4,256,4096,false,0.4718592,377.7701104991138,0.463470688,0.0,20,342,0,0,15.770110499113798
4,256,4096,true,0.144703488,164.16792990639806,0.027263072,0.109052,20,28,98,4,14.167929906398058
4,256,8192,false,0.908066816,700.5743798799813,0.899678304,0.0,21,667,0,0,12.57437987998128
4,256,8192,true,0.253755392,242.22336942330003,0.027263072,0.218103904,20,28,176,4,14.223369423300028
4,256,16384,false,1.801453568,1298.4388112090528,1.772093536,0.0,20,1266,0,0,12.438811209052801
4,256,16384,true,0.4718592,398.540950845927,0.027263072,0.436207712,19,29,334,4,12.540950845927
8,128,64,false,0.048234496,59.14502078667283,0.04089456,0.0,22,35,0,0,2.1450207866728306
8,128,64,true,0.035651584,68.9340615645051,0.027263072,0.001704032,19,21,14,4,10.9340615645051
8,128,128,false,0.060817408,65.69619057700038,0.054526048,0.0,20,44,0,0,1.6961905770003796
8,128,128,true,0.04194304,69.05976915732026,0.027263072,0.003407968,18,19,17,3,12.059769157320261
8,128,256,false,0.090177536,88.45348842442036,0.081789024,0.0,20,66,0,0,2.4534884244203568
8,128,256,true,0.04194304,69.91182919591665,0.027263072,0.00681584,18,20,14,3,14.911829195916653
8,128,512,false,0.144703488,136.8874916806817,0.136314976,0.0,22,109,0,0,5.8874916806817055
8,128,512,true,0.056623104,80.27916075661778,0.027263072,0.013631584,19,26,21,3,11.279160756617785
8,128,1024,false,0.253755392,219.10544019192457,0.24536688,0.0,22,186,0,0,11.105440191924572
8,128,1024,true,0.065011712,101.61167941987514,0.027263072,0.027263072,21,27,37,4,12.611679419875145
8,128,2048,false,0.4718592,380.0380392931402,0.463470688,0.0,20,346,0,0,14.038039293140173
8,128,2048,true,0.090177536,122.64525983482599,0.027263072,0.054526048,21,25,62,4,10.645259834825993
8,128,4096,false,0.908066816,670.460369437933,0.899678304,0.0,20,629,0,0,21.460369437932968
8,128,4096,true,0.144703488,163.54189021512866,0.027263072,0.109052,21,26,99,4,13.54189021512866
8,128,8192,false,1.801453568,1333.8050106540322,1.772093536,0.0,23,1295,0,0,15.80501065403223
8,128,8192,true,0.253755392,230.05093913525343,0.027263072,0.218103904,19,25,170,4,12.05093913525343
8,128,16384,false,3.546284032,2581.625818274915,3.516924,0.0,22,2547,0,0,12.625818274915218
8,128,16384,true,0.4718592,396.2690895423293,0.027263072,0.436207712,20,25,335,4,12.269089542329311
8,256,64,false,0.077594624,85.84688883274794,0.068157536,0.0,22,58,0,0,5.846888832747936
8,256,64,true,0.060817408,90.3363199904561,0.054526048,0.001704032,19,43,14,4,10.336319990456104
8,256,128,false,0.090177536,84.81041993945837,0.081789024,0.0,20,63,0,0,1.8104199394583702
8,256,128,true,0.081788928,93.0685200728476,0.054526048,0.003407968,20,42,18,4,9.068520072847605
8,256,256,false,0.11534336,110.54296046495438,0.109052,0.0,21,87,0,0,2.542960464954376
8,256,256,true,0.081788928,94.30611040443182,0.054526048,0.00681584,19,42,16,4,13.30611040443182
8,256,512,false,0.169869312,145.5141813494265,0.163577952,0.0,18,115,0,0,12.514181349426508
8,256,512,true,0.081788928,107.63471946120262,0.054526048,0.013631584,20,46,22,4,15.634719461202621
8,256,1024,false,0.278921216,224.97187135741115,0.272629856,0.0,19,194,0,0,11.971871357411146
8,256,1024,true,0.090177536,118.23112145066261,0.054526048,0.027263072,21,43,36,4,14.231121450662613
8,256,2048,false,0.497025024,381.6746291704476,0.490733664,0.0,20,344,0,0,17.674629170447588
8,256,2048,true,0.11534336,140.1167386211455,0.054526048,0.054526048,21,43,61,4,11.116738621145487
8,256,4096,false,0.93323264,722.0446993596852,0.92694128,0.0,20,686,0,0,16.044699359685183
