nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
1,128,64,false,0.027262976,22.07159996032715,0.005111904,0.0,8,7,0,0,7.071599960327148
1,128,64,true,0.027262976,26.014368049800396,0.003407968,0.001704032,7,5,7,1,6.014368049800396
1,128,128,false,0.027262976,22.31106162071228,0.00681584,0.0,8,8,0,0,6.31106162071228
1,128,128,true,0.027262976,30.560791492462158,0.003407968,0.003407968,7,5,10,1,7.560791492462158
1,128,256,false,0.027262976,31.581246294081215,0.010223712,0.0,8,14,0,0,9.581246294081215
1,128,256,true,0.027262976,49.43783860653639,0.003407968,0.00681584,8,8,18,1,14.437838606536388
1,128,512,false,0.027262976,40.093488059937954,0.017039456,0.0,8,23,0,0,9.093488059937954
1,128,512,true,0.027262976,55.29316607862711,0.003407968,0.013631584,9,8,27,1,10.29316607862711
1,128,1024,false,0.039845888,60.79613231122494,0.030670944,0.0,8,40,0,0,12.796132311224937
1,128,1024,true,0.056623104,77.65679154545069,0.003407968,0.027263072,9,8,47,1,12.656791545450687
1,128,2048,false,0.065011712,98.27544912695885,0.05793392,0.0,8,79,0,0,11.275449126958847
1,128,2048,true,0.081788928,116.17910116910934,0.003407968,0.054526048,8,7,87,1,13.179101169109344
1,128,4096,false,0.119537664,182.37573094666004,0.112459872,0.0,8,152,0,0,22.375730946660042
1,128,4096,true,0.13631488,198.71987402439117,0.003407968,0.109052,8,7,169,1,13.719874024391174
1,128,8192,false,0.228589568,338.7618903070688,0.221511776,0.0,9,319,0,0,10.761890307068825
1,128,8192,true,0.245366784,358.7525896728039,0.003407968,0.218103904,8,7,330,1,12.752589672803879
1,128,16384,false,0.446693376,669.4454606622458,0.439615584,0.0,9,641,0,0,19.44546066224575
1,128,16384,true,0.463470592,690.4933415353298,0.003407968,0.436207712,8,8,654,1,19.49334153532982
1,256,64,false,0.027262976,26.4844112098217,0.008519776,0.0,8,9,0,0,9.484411209821701
1,256,64,true,0.027262976,29.624830931425095,0.00681584,0.001704032,8,8,7,1,5.624830931425095
1,256,128,false,0.027262976,26.74789633601904,0.010223712,0.0,8,11,0,0,7.747896336019039
1,256,128,true,0.027262976,41.43777769058943,0.00681584,0.003407968,8,10,10,1,12.437777690589428
1,256,256,false,0.027262976,35.44587176293135,0.013631584,0.0,9,19,0,0,7.445871762931347
1,256,256,true,0.027262976,50.047868862748146,0.00681584,0.00681584,8,11,18,1,12.047868862748146
1,256,512,false,0.027262976,41.45498853176832,0.020447328,0.0,8,25,0,0,8.454988531768322
1,256,512,true,0.027262976,62.347250059247024,0.00681584,0.013631584,9,11,28,1,13.347250059247024
1,256,1024,false,0.044040192,56.585888378322124,0.034078816,0.0,8,37,0,0,11.585888378322124
1,256,1024,true,0.056623104,79.07429244369268,0.00681584,0.027263072,8,12,47,1,11.074292443692684
1,256,2048,false,0.069206016,96.52814827859402,0.061341792,0.0,9,76,0,0,11.528148278594017
1,256,2048,true,0.081788928,121.07988819479942,0.00681584,0.054526048,8,12,87,1,13.079888194799423
1,256,4096,false,0.123731968,178.92635893076658,0.115867744,0.0,8,161,0,0,9.926358930766582
1,256,4096,true,0.13631488,198.78079183399677,0.00681584,0.109052,8,12,169,1,8.780791833996773
1,256,8192,false,0.232783872,343.43328792601824,0.224919648,0.0,9,324,0,0,10.433287926018238
1,256,8192,true,0.245366784,366.47910717874765,0.00681584,0.218103904,8,12,331,1,14.479107178747654
1,256,16384,false,0.45088768,670.2467473223805,0.443023456,0.0,9,648,0,0,13.246747322380543
1,256,16384,true,0.463470592,688.6217836290598,0.00681584,0.436207712,8,11,655,1,13.621783629059792
4,128,64,false,0.027262976,41.41876008361578,0.020447328,0.0,9,23,0,0,9.41876008361578
4,128,64,true,0.027262976,40.88703077286482,0.013631584,0.001704032,8,17,7,1,7.887030772864819
4,128,128,false,0.035651584,51.5125785022974,0.027263072,0.0,9,35,0,0,7.512578502297401
4,128,128,true,0.027262976,45.44464871287346,0.013631584,0.003407968,8,17,11,1,8.444648712873459
4,128,256,false,0.048234496,67.81799718737602,0.04089456,0.0,9,53,0,0,5.817997187376022
4,128,256,true,0.027262976,50.486596301198006,0.013631584,0.00681584,8,16,18,1,7.486596301198006
4,128,512,false,0.077594624,123.22771828621626,0.068157536,0.0,9,93,0,0,21.22771828621626
